,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113889,1,ESTAÇÃO PEDRA DE GUARATIBA,113889,,,,,,,
codnum,113889.0,,,,6.0,6.0,6.0,6.0,6.0,6.0,0.0
data,113889,,,,2018-07-01 06:09:49.157864448,2012-01-01 03:30:00,2015-04-01 12:30:00,2018-06-30 20:30:00,2021-09-29 04:30:00,2024-12-31 23:30:00,
ano,113889.0,,,,2017.9965492716592,2012.0,2015.0,2018.0,2021.0,2024.0,3.7411969869069934
mes,113889.0,,,,6.522675587633573,1.0,4.0,7.0,10.0,12.0,3.448933150533964
dia,113889.0,,,,15.734566112618428,1.0,8.0,16.0,23.0,31.0,8.800483522766234
data_dia,113889,4749,2024-12-31,24,,,,,,,
chuva,106995.0,,,,0.1192859479414926,0.0,0.0,0.0,0.0,67.6,1.0647489290970136
temp,103314.0,,,,25.625739315742948,0.0,22.63,25.2,28.22,44.73,4.299672101094753
ur,75382.0,,,,77.05901238580387,5.5,65.48,80.05,91.08,100.0,16.962271716826123
co,0.0,,,,,,,,,,
no,0.0,,,,,,,,,,
no2,0.0,,,,,,,,,,
nox,0.0,,,,,,,,,,
so2,0.0,,,,,,,,,,
o3,102528.0,,,,47.53339007152433,0.0,23.64,46.12,66.31,262.65,30.831220626462585
pm10,101716.0,,,,33.6879532822821,0.0,18.0,28.0,42.0,588.0,25.014307378488017
pm2_5,0.0,,,,,,,,,,
lat,113889.0,,,,-23.004378980000006,-23.00437898,-23.00437898,-23.00437898,-23.00437898,-23.00437898,7.105458552335127e-15
lon,113889.0,,,,-43.62901037,-43.62901037,-43.62901037,-43.62901037,-43.62901037,-43.62901037,0.0
